,name,address,health codes,date,url,key
0,SHADY LADY,"1409 R St Ste 101  Sacramento, CA 95811-6672","['4', '7', '14a', '30a', '36', '43']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=827AB90C-3FED-44D3-B9BB-06EBD5A9F61D,1409-sha
1,SEE'S CANDIES SHOP SF 75,"3651-3 Truxel Rd Ste 3  Natomas, CA 95834",[],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=21A7E061-DE7E-4BD7-A31B-93D6EA004FF9,3651-see
2,HOMEGOODS,"3691 Truxel Rd  Sacramento, CA 95834-3604",[],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=805A71F1-36B1-4C19-8F68-5E2C13D7C8CA,3691-hom
3,BREW TO GO,"2913 Auburn Blvd  Sacramento, CA 95821","['14a', '15', '33', '35', '47a', '48']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=6FAA15B3-6434-423C-9753-EF29033F98A7,2913-bre
4,BRICKLAND BISTRO,"3301 Folsom Blvd  Sacramento, CA 95816-5329",['7'],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1D1768E3-2793-4E95-BB52-587A0EB075C4,3301-bri
5,SAFEWAY #1794,"1850 Prairie City Rd  Folsom, CA 95630-9518",['7'],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=E240E72D-D671-4096-9FB7-606CFCF7DC79,1850-saf
6,MIZUKI SUSHI,"5500 Sunrise Blvd Ste 500  Citrus Heights, CA 95610-7643","['1c', '6', '7', '30a', '36']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=427AD2A2-6043-43D7-80AF-395128186F9D,5500-miz
7,SHERATON GRAND SACRAMENTO,"1230 J St  Sacramento, CA 95814-2907","['14b', '23', '29', '45']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=13EB3064-6285-4769-98C1-C0883E9DDE94,1230-she
8,ORCHID THAI,"1609 16th St  Sacramento, CA 95814-6006","['7', '9', '14b', '23', '27', '33', '44d']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=E3FD0FE6-58EC-49D8-AD9D-65EF5329F20F,1609-orc
9,LANG MAGAZINE-COFFEE,"6930 65th St Ste 101  Sacramento, CA 95823-2341","['1a', '1b', '1c', '7', '14b', '27', '29', '30b', '33', '34', '35', '36', '39', '42', '43', '44c', '49']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=DF9ACE8D-9923-4FD8-9C12-34DD43BE6854,6930-lan
