,key,alias,name_x,rating,price,review_count,categories,lat,lon,display_address,city,zip_code,phone,address,health codes,date,url,num_health_code_violations
0,1000-cra,cracker-barrel-old-country-store-sacramento-2,Cracker Barrel Old Country Store,2.4,$$,1213,"['Breakfast & Brunch', 'American', 'Southern']",38.58393465121005,-121.41451820968962,"['1000 Howe Ave', 'Sacramento, CA 95825']",Sacramento,95825,19165641006.0,"1000 Howe Ave  Sacramento, CA 95825-3907",[['7']],"['April 21, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=95B7D1D6-DF1B-4B41-ABBB-7BADA6E2529C,1
1,1000-del,delta-bar-and-grill-sacramento,Delta Bar and Grill,3.2,$$,102,"['Bars', 'American', 'Sandwiches']",38.582643,-121.506647,"['1000 Front St', 'Sacramento, CA 95814']",Sacramento,95814,19164414440.0,"1000 Front St  Sacramento, CA 95814-3231","[['1c', '6', '14a', '36', '41']]","['November 8, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=F7CAA00C-6CC6-40C2-8054-E571C3E29B49,5
2,1000-ois,oishii-sushi-and-karaoke-bar-sacramento,Oishii Sushi & Karaoke Bar,2.8,$$,459,"['Japanese', 'Karaoke', 'Sushi Bars']",38.57881,-121.49376,"['1000 K St', 'Ste 200', 'Sacramento, CA 95814']",Sacramento,95814,19165578088.0,"1000 K St Ste 200  Sacramento, CA 95814-3831","[['7', '14b', '27', '30a'], ['4', '6', '7', '14a', '26', '27', '30a', '33']]","['January 3, 2024', 'April 13, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=9461D4EF-F363-4D0E-95B3-EB29D1CD8BF1,12
3,1000-the,the-boiling-crab-sacramento-4,The Boiling Crab,3.6,$$,727,"['Cajun/Creole', 'Seafood']",38.5787965,-121.4939644445498,"['1000 K St', 'Ste 100', 'Sacramento, CA 95814']",Sacramento,95814,19162810291.0,"1000 K St  Sacramento, CA 95814-3830","[['35', '36'], ['4', '35'], ['4', '35']]","['January 16, 2024', 'September 7, 2023', 'September 7, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=625C09E0-6E4F-4BC5-83F2-9671B2B1CA78,6
4,1001-chi,chipotle-mexican-grill-folsom,Chipotle Mexican Grill,2.4,$,268,"['Mexican', 'Fast Food']",38.66945594182111,-121.15562516034876,"['1001 E Bidwell St', 'Ste 106', 'Folsom, CA 95630']",Folsom,95630,19169839374.0,"1001 E Bidwell St Ste 106  Folsom, CA 95630-5549","[['1c', '42'], ['1c']]","['January 31, 2024', 'September 13, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1DF2CE72-3365-4544-973A-AE31CD788641,3
5,1001-fir,firehouse-subs-folsom,Firehouse Subs,3.7,$$,198,"['Delis', 'Sandwiches', 'Fast Food']",38.66962,-121.156171917895,"['1001 E Bidwell St', 'Ste 101', 'Folsom, CA 95630']",Folsom,95630,19164584955.0,"1001 E Bidwell St Ste 101  Folsom, CA 95630-5549",[['14a']],"['November 2, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1BC04599-25AB-4B01-8C60-16BBFACE2F1A,1
6,1001-fox,fox-and-goose-public-house-sacramento-3,Fox & Goose Public House,3.7,$$,2000,"['Breakfast & Brunch', 'British', 'Pubs']",38.5715283845259,-121.496972802439,"['1001 R St', 'Sacramento, CA 95811']",Sacramento,95811,19164438825.0,"1001 R St  Sacramento, CA 95811-6519","[['4', '27']]","['December 8, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=552EFAA4-AEF6-4147-A4C0-8993FEE87679,2
7,1001-the,the-donut-shop-folsom-2,The Donut Shop,4.1,$,144,['Donuts'],38.66962,-121.155726,"['1001 E Bidwell St', 'Folsom, CA 95630']",Folsom,95630,19169838122.0,"1001 E Bidwell St Ste 105  Folsom, CA 95630-5549",[['41']],"['November 2, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=CEA3E1E8-3504-4750-A7A1-3A1BBF80FBEE,1
8,1004-bac,bacchus-house-wine-bar-and-bistro-folsom,Bacchus House Wine Bar & Bistro,4.5,$$,576,"['New American', 'Wine Bars']",38.6705577,-121.154999,"['1004 E Bidwell St', 'Ste 100', 'Folsom, CA 95630']",Folsom,95630,19169847500.0,"1004 E Bidwell St Ste 100  Folsom, CA 95630-5566","[['1b', '1c', '4', '7', '33', '49']]","['May 12, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=88B8F09D-504B-4BEF-BA40-89B317EBEF99,6
9,1004-dri,drip-espresso-sacramento-2,Drip Espresso,4.8,$,103,"['Coffee & Tea', 'Breakfast & Brunch']",38.57504154941841,-121.47484000772236,"['1004 24th St', 'Sacramento, CA 95816']",Sacramento,95816,,"1004 24th St  Sacramento, CA 95816-4708","[['6', '13', '23'], ['6', '21', '31', '34', '36', '38', '41']]","['January 30, 2024', 'April 13, 2023']",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=0E7A0CA4-9B6B-488E-B3EF-5E8549D0ACD7,10
