,key,alias,name,rating,price,review_count,categories,lat,lon,display_address,addy_one,addy_two,addy_three,city,zip_code,phone
0,4701-tha,thai-the-house-of-authentic-ingredients-sacramento,THAI - The House Of Authentic Ingredients,3.9,$$,571,"['Thai', 'Bars']",38.570107,-121.443506,"['4701 H St', 'Sacramento, CA 95819']",4701 H St,,,Sacramento,95819,19169429008.0
1,4601-vib,vibe-health-bar-sacramento-2,Vibe Health Bar,4.3,$$,322,"['Juice Bars & Smoothies', 'Wraps', 'Sandwiches']",38.5701629394227,-121.444195915828,"['4601 H St', 'Sacramento, CA 95819']",4601 H St,,,Sacramento,95819,19169705102.0
2,750-fas,fast-stop-liquor-and-food-store-sacramento,Fast Stop Liquor & Food Store,3.2,$,9,"['Convenience Stores', 'Beer, Wine & Spirits']",38.57046,-121.44487,"['750 46th St', 'Sacramento, CA 95819']",750 46th St,,,Sacramento,95819,19164577323.0
3,533-pop,poppy-by-mama-kim-sacramento,Poppy by Mama Kim,4.7,$$,71,"['New American', 'Pop-Up Restaurants']",38.5701333,-121.4371756,"['533 53rd St', 'Sacramento, CA 95819']",533 53rd St,,,Sacramento,95819,19165159971.0
4,4765-the,the-bee-box-sacramento,The Bee Box,4.7,$$,54,['Honey'],38.56738,-121.4437,"['4765 J St', 'Sacramento, CA 95819']",4765 J St,,,Sacramento,95819,19164751828.0
5,4746-pas,pasty-shack-sacramento,Pasty Shack,3.8,$,150,['British'],38.5671218954844,-121.444220591273,"['4746 J St', 'Sacramento, CA 95819']",4746 J St,,,Sacramento,95819,19164549630.0
6,4900-cha,chargins-bar-and-grill-sacramento,Chargin's Bar & Grill,3.5,$,147,"['American', 'Dive Bars']",38.5665588378906,-121.442687988281,"['4900 J St', 'Sacramento, CA 95819']",4900 J St,,,Sacramento,95819,19164541524.0
7,4830-rit,rite-aid-sacramento-4,Rite Aid,3.8,$$,30,"['Drugstores', 'Convenience Stores']",38.566541,-121.443254,"['4830 J St', 'Sacramento, CA 95819']",4830 J St,,,Sacramento,95819,19164512187.0
8,5006-han,hana-tsubaki-restaurant-sacramento,Hana Tsubaki Restaurant,4.0,$$,261,"['Japanese', 'Sushi Bars']",38.5664299,-121.44234,"['5006 J St', 'Sacramento, CA 95819']",5006 J St,,,Sacramento,95819,19164562849.0
9,5340-sel,sellands-market-cafe-sacramento,Selland's Market Cafe,4.0,$$,973,"['Cafes', 'Bakeries', 'Caterers']",38.56781,-121.43662,"['5340 H St', 'Sacramento, CA 95819']",5340 H St,,,Sacramento,95819,19167363333.0
10,4065-com,comptons-market-sacramento,Compton's Market,3.6,$$,102,"['Grocery', 'Fruits & Veggies', 'Beer, Wine & Spirits']",38.57860231868885,-121.44768934696911,"['4065 MicKinley Blvd', 'Sacramento, CA 95819']",4065 MicKinley Blvd,,,Sacramento,95819,19164562443.0
11,5401-cas,casa-east-sac-sacramento,Casa East Sac,4.4,$$,130,"['Beer, Wine & Spirits', 'American']",38.568051289577056,-121.4356409,"['5401 H St', 'Sacramento, CA 95819']",5401 H St,,,Sacramento,95819,19168983702.0
12,5610-lef,leftys-taproom-sacramento-2,Leftys Taproom,4.1,$$,56,"['Beer Bar', 'Barbeque', 'American']",38.57029,-121.4336208,"['5610 Elvas Ave', 'Sacramento, CA 95819']",5610 Elvas Ave,,,Sacramento,95819,19163890288.0
13,5487-mam,mamma-susannas-ristorante-italiano-sacramento,Mamma Susanna's Ristorante Italiano,3.9,$$,542,['Italian'],38.573118,-121.432958,"['5487 Carlson Dr', 'Sacramento, CA 95819']",5487 Carlson Dr,,,Sacramento,95819,19164527465.0
14,5489-the,the-coconut-river-park-sacramento,The Coconut River Park,4.7,$$,220,['Thai'],38.572999,-121.432858,"['5489 Carlson Dr', 'Sacramento, CA 95819']",5489 Carlson Dr,,,Sacramento,95819,19169938942.0
15,5485-riv,river-park-market-sacramento,River Park Market,2.9,$,12,"['Grocery', 'Convenience Stores']",38.5725,-121.43283,"['5485 Carlson Dr', 'Sacramento, CA 95819']",5485 Carlson Dr,,,Sacramento,95819,19164515168.0
16,5493-roo,rooster-s-breakfast-and-mimosas-sacramento,Rooster’s Breakfast and Mimosas,3.6,$$,460,['Breakfast & Brunch'],38.5723,-121.43247,"['5493 Carlson Dr', 'Ste D', 'Sacramento, CA 95819']",5493 Carlson Dr,,,Sacramento,95819,19165947281.0
17,5535-hea,heavenlys-yogurt-sacramento-2,HeavenLy's Yogurt,4.2,$,181,"['Ice Cream & Frozen Yogurt', 'Shaved Ice', 'Shaved Snow']",38.5676967766628,-121.434721235115,"['5535 H St', 'Ste 10', 'Sacramento, CA 95819']",5535 H St,,,Sacramento,95819,19164556000.0
18,5700-tup,tupelo-coffee-house-sacramento,Tupelo Coffee House,4.0,$$,651,['Coffee & Tea'],38.568516,-121.433936,"['5700 Elvas Ave', 'Sacramento, CA 95819']",5700 Elvas Ave,,,Sacramento,95819,19165386124.0
19,5539-mrf,mr-falafel-sacramento-2,Mr Falafel,4.7,$$,90,"['Falafel', 'Burgers', 'Wraps']",38.56763174392084,-121.4344531021068,"['5539 H St', 'Sacramento, CA 95819']",5539 H St,,,Sacramento,95819,19165947126.0
20,5539-sta,starbucks-sacramento-68,Starbucks,3.3,$$,59,['Coffee & Tea'],38.567597,-121.434374,"['5539 H St', 'Sacramento, CA 95819']",5539 H St,,,Sacramento,95819,19164514861.0
21,5530-nop,nopalitos-sacramento,Nopalitos,4.4,$$,510,"['Mexican', 'Breakfast & Brunch', 'Bakeries']",38.5673345,-121.4344069,"['5530 H St', 'Sacramento, CA 95819']",5530 H St,,,Sacramento,95819,19164528226.0
22,723-clu,clubhouse-56-sacramento,Clubhouse 56,4.1,$$,330,"['Sports Bars', 'Burgers']",38.5680558,-121.4337461,"['723 56th St', 'Sacramento, CA 95819']",723 56th St,,,Sacramento,95819,19164545656.0
23,5640-coo,cookies-drive-in-sacramento,Cookie's Drive In,3.9,$,288,"['Burgers', 'Hot Dogs', 'Sandwiches']",38.56697,-121.4333,"['5640 H St', 'Sacramento, CA 95819']",5640 H St,,,Sacramento,95819,19164578353.0
24,866-por,porchlight-brewing-sacramento-2,Porchlight Brewing,4.5,$$,107,"['Breweries', 'Food Trucks', 'Beer Bar']",38.56603,-121.43355,"['866 57th St', 'Sacramento, CA 95819']",866 57th St,,,Sacramento,95819,19164765384.0
25,3839-the,the-green-room-sacramento,The Green Room,4.1,$$,178,"['Gastropubs', 'Lounges']",38.57039788511919,-121.45545390338684,"['3839 J St', 'Sacramento, CA 95816']",3839 J St,,,Sacramento,95816,19164751801.0
26,855-kau,kau-kau-sacramento,Kau Kau,4.3,$$,449,"['New American', 'Hawaiian']",38.56613503665389,-121.43299487696255,"['855 57th St', 'Ste C', 'Sacramento, CA 95819']",855 57th St,,,Sacramento,95819,19164317043.0
27,5641-the,the-mimosa-house-sacramento-4,The Mimosa House,3.6,$$,1476,"['Wine Bars', 'Breakfast & Brunch', 'American']",38.5646963,-121.4337327,"['5641 J St', 'Sacramento, CA 95819']",5641 J St,,,Sacramento,95819,19164004084.0
28,3754-mid,midtown-taqueria-sacramento,Midtown Taqueria,3.2,$,553,"['Mexican', 'Seafood']",38.57015,-121.45613,"['3754 J St', 'Sacramento, CA 95816']",3754 J St,,,Sacramento,95816,19164527551.0
29,3711-the,the-allspicery-sacramento,The Allspicery,4.9,$$,99,['Herbs & Spices'],38.57068390267538,-121.45646574537416,"['3711 J St', 'Sacramento, CA 95816']",3711 J St,,,Sacramento,95816,19163897828.0
30,5636-roc,rocket-joes-sacramento,Rocket Joe's,4.8,$,49,['Coffee & Tea'],38.5642435,-121.4338797,"['5636 J St', 'Sacramento, CA 95819']",5636 J St,,,Sacramento,95819,19167369005.0
