,key,alias,name,review_count,categories,display_address,addy_one,addy_two,addy_three,city,zip_code,phone
0,4701-tha,thai-the-house-of-authentic-ingredients-sacramento,THAI - The House Of Authentic Ingredients,571,"['Thai', 'Bars']","['4701 H St', 'Sacramento, CA 95819']",4701 H St,,,Sacramento,95819,+19169429008
1,4601-vib,vibe-health-bar-sacramento-2,Vibe Health Bar,322,"['Juice Bars & Smoothies', 'Wraps', 'Sandwiches']","['4601 H St', 'Sacramento, CA 95819']",4601 H St,,,Sacramento,95819,+19169705102
2,160-ber,bertha-henschel-park-sacramento,Bertha Henschel Park,17,"['Parks', 'Playgrounds']","['160 45th St', 'Sacramento, CA 95819']",160 45th St,,,Sacramento,95819,+19168085200
3,533-pop,poppy-by-mama-kim-sacramento,Poppy by Mama Kim,71,"['New American', 'Pop-Up Restaurants']","['533 53rd St', 'Sacramento, CA 95819']",533 53rd St,,,Sacramento,95819,+19165159971
4,533-dru,druthers-sutter-park-sacramento,Druthers Sutter Park,30,"['Coffee & Tea', 'Waffles']","['533 53rd St', 'Sacramento, CA 95819']",533 53rd St,,,Sacramento,95819,
5,4201-tem,temple-coffee-roasters-sacramento-6,Temple Coffee Roasters,56,"['Coffee Roasteries', 'Coffee & Tea']","['4201 H St', 'Sacramento, CA 95819']",4201 H St,,,Sacramento,95819,+19163824145
6,4746-pas,pasty-shack-sacramento,Pasty Shack,150,['British'],"['4746 J St', 'Sacramento, CA 95819']",4746 J St,,,Sacramento,95819,+19164549630
7,4738-clu,club-2-me-sacramento,Club 2 Me,74,['Bars'],"['4738 J St', 'Sacramento, CA 95819']",4738 J St,,,Sacramento,95819,+19164516834
8,4900-cha,chargins-bar-and-grill-sacramento,Chargin's Bar & Grill,147,"['American', 'Dive Bars']","['4900 J St', 'Sacramento, CA 95819']",4900 J St,,,Sacramento,95819,+19164541524
9,5006-han,hana-tsubaki-restaurant-sacramento,Hana Tsubaki Restaurant,261,"['Japanese', 'Sushi Bars']","['5006 J St', 'Sacramento, CA 95819']",5006 J St,,,Sacramento,95819,+19164562849
